iter	Passed	Remaining
695	2027	885
696	2030	882
697	2033	879
698	2036	876
699	2038	873
700	2041	870
701	2043	867
702	2046	864
703	2049	861
704	2051	858
705	2054	855
706	2057	852
707	2059	849
708	2062	846
709	2065	843
710	2067	840
711	2070	837
712	2073	834
713	2076	831
714	2078	828
715	2081	825
716	2084	822
717	2087	819
718	2089	816
719	2092	813
720	2094	810
721	2097	807
722	2100	804
723	2102	801
724	2105	798
725	2108	795
726	2111	792
727	2113	789
728	2116	786
729	2118	783
730	2121	780
731	2124	777
732	2126	774
733	2129	771
734	2132	768
735	2134	765
736	2137	762
737	2139	759
738	2143	756
739	2145	753
740	2148	750
741	2151	747
742	2153	745
743	2156	742
744	2159	739
745	2162	736
746	2165	733
747	2168	730
748	2170	727
749	2173	724
750	2176	721
751	2179	718
752	2181	715
753	2184	712
754	2187	709
755	2189	706
756	2192	703
757	2194	700
758	2197	697
759	2200	694
760	2202	691
761	2205	688
762	2208	686
763	2211	683
764	2214	680
765	2216	677
766	2219	674
767	2222	671
768	2225	668
769	2227	665
770	2230	662
771	2232	659
772	2235	656
773	2238	653
774	2241	650
775	2243	647
776	2246	644
777	2249	641
778	2252	638
779	2254	636
780	2257	633
781	2260	630
782	2262	627
783	2265	624
784	2268	621
785	2271	618
786	2274	615
787	2277	612
788	2280	609
789	2283	606
790	2286	604
791	2288	601
792	2291	598
793	2294	595
794	2296	592
795	2299	589
796	2302	586
797	2305	583
798	2308	580
799	2310	577
800	2313	574
801	2316	571
802	2319	569
803	2322	566
804	2324	563
805	2327	560
806	2330	557
807	2333	554
808	2336	551
809	2339	548
810	2342	545
811	2344	542
812	2348	540
813	2350	537
814	2353	534
815	2356	531
816	2359	528
817	2362	525
818	2365	522
819	2368	519
820	2370	516
821	2373	514
822	2377	511
823	2380	508
824	2383	505
825	2386	502
826	2389	499
827	2391	496
828	2394	493
829	2397	491
830	2400	488
831	2403	485
832	2406	482
833	2409	479
834	2412	476
835	2415	473
836	2418	470
837	2421	468
838	2423	465
839	2426	462
840	2429	459
841	2432	456
842	2435	453
843	2438	450
844	2440	447
845	2443	444
846	2446	441
847	2448	438
848	2451	436
849	2454	433
850	2457	430
851	2460	427
852	2463	424
853	2466	421
854	2469	418
855	2472	415
